relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
NYT_ENG_20080115.0110.LDC2009T13_427_25-NYT_ENG_20080115.0110.LDC2009T13_427_10,NYT_ENG_20080115.0110.LDC2009T13_427,Jill Eikenberry-Michael Tucker,t,0.972,"{Good,guanciale,makes,all,the,difference,"","",said,the,actor,Michael,Tucker,"","",an,accomplished,cook,"","",who,"","",with,his,wife,"","",the,actress,Jill,Eikenberry,"","",has,a,house,in,Umbria,.}",25,2,10,2,2,"{INV_NGRAM_1_[wife],INV_LENGTHS_[3_2],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_1_[,]"",IS_INVERTED,INV_NGRAM_1_[with]}","{1.40876,0.92871,-0.763446,-0.66542,-0.651428,0.415228}"
NYT_ENG_20080822.0051.LDC2009T13_289_27-NYT_ENG_20080822.0051.LDC2009T13_289_17,NYT_ENG_20080822.0051.LDC2009T13_289,Benazir Bhutto-Asif Ali Zardari,t,0.95,"{Members,of,the,Pakistan,Peoples,Party,"","",the,other,leading,party,in,the,coalition,government,"","",want,Asif,Ali,Zardari,"","",the,widower,of,former,Prime,Minister,Benazir,Bhutto,and,a,leader,of,the,party,"","",to,be,the,next,president,.}",27,2,17,3,3,"{INV_LENGTHS_[2_3],INV_NGRAM_1_[widower],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_1_[,]"",IS_INVERTED,""INV_NGRAM_2_[widower of]""}","{1.08611,0.849673,-0.763446,-0.66542,-0.651428,0.605642}"
NYT_ENG_20080321.0017.LDC2009T13_31_33-NYT_ENG_20080321.0017.LDC2009T13_31_25,NYT_ENG_20080321.0017.LDC2009T13_31,John Tortorella-Christine Tortorella,t,0.91,"{I,could,tell,you,how,these,truly,beautiful,children,buzzed,around,the,Lightning,mascot,"","",waving,copies,of,Hey,Coach,"","",the,book,written,by,Christine,Tortorella,"","",the,wife,of,Lightning,coach,John,Tortorella,.}",33,2,25,2,2,"{INV_NGRAM_1_[wife],""INV_BETW_D_[prep_of DICT_married appos]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_1_[,]"",IS_INVERTED,""INV_BETW_L_[prep_of appos]""}","{1.40876,0.850398,-0.763446,-0.66542,-0.651428,0.585163}"
NYT_ENG_20070911.0146.LDC2009T13_649_13-NYT_ENG_20070911.0146.LDC2009T13_649_16,NYT_ENG_20070911.0146.LDC2009T13_649,David Petraeus-Holly Knowlton,t,0.926,"{Two,months,after,graduating,from,West,Point,"","",the,newly,commissioned,2nd,Lt.,David,Petraeus,married,Holly,Knowlton,"","",the,daughter,of,Gen.,William,A.,Knowlton,"","",then,superintendent,of,the,academy,.}",13,2,16,2,2,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[marry],KW_IND_[non_married],LENGTHS_[2_2],NER_SEQ_[O],POS_SEQ_[VBD]}","{-1.31464,1.12548,-1.07205,1.00097,0.567821,0.334451}"
LTW_ENG_20080907.0037.LDC2009T13_6_6-LTW_ENG_20080907.0037.LDC2009T13_6_16,LTW_ENG_20080907.0037.LDC2009T13_6,Asif Ali Zardari-Benazir Bhutto,t,0.912,"{Pakistan,'s,lawmakers,on,Saturday,elected,Asif,Ali,Zardari,"","",widower,of,slain,former,prime,minister,Benazir,Bhutto,"","",to,take,over,the,country,'s,presidency,amid,political,and,economic,turmoil,and,fears,of,a,strengthening,Taliban,insurgency,.}",6,3,16,2,2,"{STARTS_WITH_CAPITAL_[True_True],LENGTHS_[3_2],NGRAM_1_[widower],""NGRAM_1_[,]"",""NGRAM_2_[widower of]"",""NGRAM_3_[, widower of]""}","{-1.31464,1.08145,0.833708,-0.736788,0.625951,0.269399}"
APW_ENG_20080502.0018.LDC2009T13_76_0-APW_ENG_20080502.0018.LDC2009T13_76_10,APW_ENG_20080502.0018.LDC2009T13_76,Asif Ali Zardari-Benazir Bhutto,t,0.912,"{Asif,Ali,Zardari,"","",the,widower,and,political,successor,of,Benazir,Bhutto,"","",and,former,Prime,Minister,Nawaz,Sharif,wrapped,up,two,days,of,marathon,talks,Thursday,at,a,Dubai,hotel,.}",0,3,10,2,2,"{STARTS_WITH_CAPITAL_[True_True],LENGTHS_[3_2],NGRAM_1_[widower],""NGRAM_1_[,]"",""NER_SEQ_[O O O O O O O]"",""NGRAM_2_[the widower]""}","{-1.31464,1.08145,0.833708,-0.736788,0.396727,0.345561}"
eng-NG-31-104877-11906318_105_0-eng-NG-31-104877-11906318_105_5,eng-NG-31-104877-11906318_105,John Adams-Abigail from York,,0.96,"{John,Adams,to,his,wife,Abigail,from,York,"","",29,June,1774,"","",from,The,Letters,of,John,and,Abigail,Adams,"","",Penguin,classics,.}",0,2,5,3,3,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_3],""NER_SEQ_[O O O]"",NGRAM_1_[he],""W_NER_L_1_R_3_[O]_[O DATE DATE]""}","{1.45266,-1.31464,0.973073,0.507892,0.311969,0.306871}"
eng-NG-31-104877-11906318_105_5-eng-NG-31-104877-11906318_105_0,eng-NG-31-104877-11906318_105,Abigail from York-John Adams,,0.93,"{John,Adams,to,his,wife,Abigail,from,York,"","",29,June,1774,"","",from,The,Letters,of,John,and,Abigail,Adams,"","",Penguin,classics,.}",5,3,0,2,2,"{INV_NGRAM_1_[wife],INV_LENGTHS_[3_2],INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,""INV_NER_SEQ_[O O O]"",INV_NGRAM_1_[he]}","{1.40876,0.92871,-0.763446,-0.651428,0.546301,0.327682}"
APW_ENG_20070713.1226.LDC2009T13_351_0-APW_ENG_20070713.1226.LDC2009T13_351_8,APW_ENG_20070713.1226.LDC2009T13_351,Eleanor Roosevelt-Franklin D. Roosevelt,t,0.944,"{Eleanor,Roosevelt,was,the,wife,of,former,President,Franklin,D.,Roosevelt,"","",and,was,known,for,her,promotion,of,social,welfare,programs,during,the,Depression,and,civil,rights,.}",0,2,8,3,3,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],""NGRAM_2_[wife of]"",LENGTHS_[3_4],""NGRAM_2_[former President]"",""W_LEMMA_L_1_R_1_[.]_[,]""}","{1.45266,-1.31464,0.621528,0.603109,0.371027,0.286946}"
APW_ENG_20080911.0142.LDC2009T13_994_13-APW_ENG_20080911.0142.LDC2009T13_994_32,APW_ENG_20080911.0142.LDC2009T13_994,Georgina Chapman-Rachel Zoe,,0.914,"{Gorgeous,floral,hand-woven,embroidery,"","",gilded,piping,and,mandarin,collars,reigned,as,designer,Georgina,Chapman,"","",wife,of,studio,mogul,Harvey,Weinstein,"","",mingled,with,guests,like,actress,Amanda,Bynes,"","",stylist,Rachel,Zoe,and,``,American,Idol,'',runner-up,Katharine,McPhee,.}",13,2,32,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[3_2],""NGRAM_1_[,]"",""NGRAM_2_[wife of]"",NGRAM_1_[actress]}","{1.45266,-1.31464,1.08145,-0.736788,0.621528,0.342907}"
eng-NG-31-146952-10454928_11_12-eng-NG-31-146952-10454928_11_4,eng-NG-31-146952-10454928_11,Carla Bruni-Nicolas Sarkozy,t,0.95,"{Recently,divorced,French,President,Nicolas,Sarkozy,'s,new,love,interest,is,supermodel-turned-singer,Carla,Bruni,"","",news,reports,said,recently,"","",after,the,two,were,photographed,together,at,Disneyland,Paris,.}",12,2,4,2,2,"{INV_LENGTHS_[2_3],INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,""INV_NER_SEQ_[O O O O O O]"",INV_NGRAM_1_[love],INV_NGRAM_1_[new]}","{1.08611,-0.763446,-0.651428,0.390385,0.352062,0.307032}"
NYT_ENG_20070409.0099.LDC2009T13_13_25-NYT_ENG_20070409.0099.LDC2009T13_13_8,NYT_ENG_20070409.0099.LDC2009T13_13,Diane Patrick-Deval Patrick,t,0.902,"{In,her,first,public,comments,since,Massachusetts,Governor,Deval,Patrick,announced,a,month,ago,that,his,wife,was,being,treated,for,exhaustion,and,depression,"","",Diane,Patrick,has,written,an,open,letter,in,which,she,says,she,is,now,on,the,mend,.}",25,2,8,2,2,"{INV_NGRAM_1_[wife],INV_LENGTHS_[2_2],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_1_[,]"",IS_INVERTED,INV_NGRAM_1_[he]}","{1.40876,1.0991,-0.763446,-0.66542,-0.651428,0.327682}"
LTW_ENG_20080129.0136.LDC2009T13_13_38-LTW_ENG_20080129.0136.LDC2009T13_13_31,LTW_ENG_20080129.0136.LDC2009T13_13,Bill Clinton-Hillary Rodham Clinton,t,0.954,"{Sen.,Edward,M.,Kennedy,delivered,a,highly,prized,endorsement,for,Sen.,Barack,Obama,Monday,as,well,as,a,pointed,rebuttal,to,the,main,lines,of,attack,used,against,him,by,Sen.,Hillary,Rodham,Clinton,and,her,husband,"","",Bill,Clinton,.}",38,2,31,3,3,"{INV_NGRAM_1_[husband],INV_LENGTHS_[2_4],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_1_[,]"",INV_NGRAM_1_[she],IS_INVERTED}","{1.33699,1.11094,-0.763446,-0.66542,0.658011,-0.651428}"
eng-WL-11-174595-12968182_1185_5-eng-WL-11-174595-12968182_1185_0,eng-WL-11-174595-12968182_1185,Marc Anthony-Jennifer Lopez,t,0.928,"{Jennifer,Lopez,and,her,husband,Marc,Anthony,made,an,appearance,at,the,Echo,Music,Awards,-LRB-,which,is,"","",essentially,"","",the,German,version,of,the,Grammy,Awards,-RRB-,over,the,weekend,and,while,Jenny,Lo,was,lookin,',really,hot,...,her,hubby,was,lookin,',really,...,not,:}",5,2,0,2,2,"{INV_NGRAM_1_[husband],INV_LENGTHS_[2_2],INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[she],IS_INVERTED,""INV_NER_SEQ_[O O O]""}","{1.33699,1.0991,-0.763446,0.658011,-0.651428,0.546301}"
NYT_ENG_20070509.0202.LDC2009T13_706_12-NYT_ENG_20070509.0202.LDC2009T13_706_18,NYT_ENG_20070509.0202.LDC2009T13_706,Zelda Fitzgerald-F. Scott Fitzgerald,t,0.942,"{Skemer,"","",for,example,"","",personally,unsealed,the,mental,health,records,of,Zelda,Fitzgerald,"","",wife,of,author,F.,Scott,Fitzgerald,.}",12,2,18,3,3,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],""BETW_D_[appos DICT_married prep_of]"",""NGRAM_1_[,]"",LENGTHS_[3_3],""NGRAM_2_[wife of]""}","{1.45266,-1.31464,0.819902,-0.736788,0.67779,0.621528}"
eng-WL-11-174595-12967901_1894_8-eng-WL-11-174595-12967901_1894_30,eng-WL-11-174595-12967901_1894,Jessica Simpson-Nick Lachey,t,0.928,"{And,finally,"","",here,are,a,couple,new,Jessica,Simpson,promo,pictures,...,her,new,album,A,Public,Affair,-LRB-,which,has,nothing,at,all,do,to,with,her,ex-husband,Nick,Lachey,-RRB-,comes,out,at,the,end,of,this,month,and,it,'s,about,time,her,promo,machine,kicks,into,high,gear,:}",8,2,30,2,2,"{STARTS_WITH_CAPITAL_[True_True],LENGTHS_[3_2],NGRAM_1_[ex-husband],NGRAM_1_[she],NGRAM_1_[with],NGRAM_1_[new]}","{-1.31464,1.08145,0.892243,0.686583,0.333158,0.233448}"
LTW_ENG_20070111.0075.LDC2009T13_8_0-LTW_ENG_20070111.0075.LDC2009T13_8_30,LTW_ENG_20070111.0075.LDC2009T13_8,Carlo Ponti-Sophia Loren,t,0.952,"{Carlo,Ponti,"","",the,Italian,producer,of,films,such,as,``,La,Strada,"","",'',``,Doctor,Zhivago,'',and,``,Blowup,'',and,the,longtime,husband,of,Oscar-winning,actress,Sophia,Loren,"","",has,died,.}",0,2,30,2,2,"{NGRAM_1_[husband],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],""NGRAM_1_[,]"",""NGRAM_2_[husband of]"",NGRAM_1_[actress]}","{1.38993,-1.31464,1.00097,-0.736788,0.466609,0.342907}"
AFP_ENG_20081215.0748.LDC2009T13_424_20-AFP_ENG_20081215.0748.LDC2009T13_424_30,AFP_ENG_20081215.0748.LDC2009T13_424,Asif Ali Zardari-Benazir Bhutto,t,0.982,"{Bush,said,Washington,was,working,with,Pakistan,to,halt,cross,-,border,strikes,in,Afghanistan,"","",and,praised,Pakistani,President,Asif,Ali,Zardari,"","",the,widower,of,slain,former,premier,Benazir,Bhutto,"","",as,``,determined,'',to,help,.}",20,3,30,2,2,"{STARTS_WITH_CAPITAL_[True_True],LENGTHS_[3_2],NGRAM_1_[widower],""NGRAM_1_[,]"",""NGRAM_2_[widower of]"",""BETW_L_[appos prep_of]""}","{-1.31464,1.08145,0.833708,-0.736788,0.625951,0.476602}"
APW_ENG_20070104.1581.LDC2009T13_345_2-APW_ENG_20070104.1581.LDC2009T13_345_13,APW_ENG_20070104.1581.LDC2009T13_345,Bill Clinton-Hillary Rodham Clinton,t,0.954,"{Former,President,Bill,Clinton,watched,from,the,gallery,as,his,wife,"","",Sen.,Hillary,Rodham,Clinton,"","",was,sworn,in,for,a,second,term,from,New,York,.}",2,2,13,3,3,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_4],""NGRAM_1_[,]"",""NER_SEQ_[O O O O O O O O O]"",NGRAM_1_[he]}","{1.45266,-1.31464,1.22152,-0.736788,0.312113,0.311969}"
APW_ENG_20070109.1303.LDC2009T13_20_4-APW_ENG_20070109.1303.LDC2009T13_20_0,APW_ENG_20070109.1303.LDC2009T13_20,Grant Shaffer-Alan Cumming,t,0.958,"{Alan,Cumming,married,illustrator,Grant,Shaffer,in,a,civil,ceremony,outside,London,over,the,weekend,"","",the,actor,'s,spokeswoman,"","",Bianca,Bianconi,"","",said,Tuesday,.}",4,2,0,2,2,"{INV_NGRAM_1_[marry],INV_LENGTHS_[2_2],INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,""INV_W_NER_L_2_R_1_[DATE O]_[O]"",""INV_BETW_D_[dobj DICT_married nsubj]""}","{1.16876,1.0991,-0.763446,-0.651428,0.235872,0.224436}"
AFP_ENG_20080326.0042.LDC2009T13_9_27-AFP_ENG_20080326.0042.LDC2009T13_9_22,AFP_ENG_20080326.0042.LDC2009T13_9,Carla Bruni-Nicolas Sarkozy,t,0.936,"{Queen,Elizabeth,II,hailed,what,she,called,the,ever-closer,relations,between,Britain,and,France,on,Wednesday,at,a,state,banquet,for,President,Nicolas,Sarkozy,and,his,wife,Carla,Bruni,-,Sarkozy,.}",27,2,22,2,2,"{INV_NGRAM_1_[wife],INV_LENGTHS_[2_3],INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,""INV_NER_SEQ_[O O O]"",INV_NGRAM_1_[he]}","{1.40876,1.08611,-0.763446,-0.651428,0.546301,0.327682}"
APW_ENG_20070126.0839.LDC2009T13_24_0-APW_ENG_20070126.0839.LDC2009T13_24_8,APW_ENG_20070126.0839.LDC2009T13_24,Eleanor McGovern-George McGovern,t,0.952,"{Eleanor,McGovern,"","",the,wife,of,former,Sen.,George,McGovern,"","",died,Thursday,"","",according,to,a,funeral,home,.}",0,2,8,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],""BETW_D_[appos DICT_married prep_of]"",""NGRAM_1_[,]"",LENGTHS_[3_3],""NGRAM_2_[wife of]""}","{1.45266,-1.31464,0.819902,-0.736788,0.67779,0.621528}"
AFP_ENG_20081121.0052.LDC2009T13_80_5-AFP_ENG_20081121.0052.LDC2009T13_80_15,AFP_ENG_20081121.0052.LDC2009T13_80,Andrea Mitchell-Alan Greenspan,t,0.904,"{The,report,by,NBC,anchor,Andrea,Mitchell,"","",who,is,married,to,former,Fed,chairman,Alan,Greenspan,"","",cheered,depressed,investors,with,New,York,'s,Dow,Jones,share,average,jumping,nearly,500,points,on,the,news,.}",5,2,15,2,2,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[marry],LENGTHS_[3_2],""NGRAM_1_[,]"",""NGRAM_2_[marry to]"",""NGRAM_2_[, who]""}","{-1.31464,1.12548,1.08145,-0.736788,0.452846,0.268282}"
AFP_ENG_20081119.0148.LDC2009T13_116_4-AFP_ENG_20081119.0148.LDC2009T13_116_29,AFP_ENG_20081119.0148.LDC2009T13_116,Patrick Ramael-Laurent Gbagbo,,0.928,"{He,is,French,judge,Patrick,Ramael,'s,principal,witness,"","",said,lawyer,Rodrigue,Ange,Dadje,"","",who,is,representing,Simone,Gbagbo,"","",wife,of,the,Ivory,Coast,president,"","",Laurent,Gbagbo,.}",4,2,29,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],""NGRAM_1_[,]"",""NGRAM_2_[wife of]"",""NGRAM_2_[, say]""}","{1.45266,-1.31464,1.00097,-0.736788,0.621528,-0.34065}"
APW_ENG_20070126.1632.LDC2009T13_390_22-APW_ENG_20070126.1632.LDC2009T13_390_12,APW_ENG_20070126.1632.LDC2009T13_390,Walter Annenberg-Leonore Annenberg,t,0.93,"{Included,at,the,white-tie,event,is,a,reception,for,the,couple,with,Leonore,Annenberg,"","",wife,of,the,late,publisher,and,philanthropist,Walter,Annenberg,"","",who,served,as,the,United,States,',ambassador,to,Britain,.}",22,2,12,2,2,"{INV_NGRAM_1_[wife],""INV_BETW_D_[prep_of DICT_married appos]"",INV_LENGTHS_[3_3],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_1_[,]"",IS_INVERTED}","{1.40876,0.850398,0.787954,-0.763446,-0.66542,-0.651428}"
AFP_ENG_20080310.0509.LDC2009T13_39_0-AFP_ENG_20080310.0509.LDC2009T13_39_8,AFP_ENG_20080310.0509.LDC2009T13_39,Asif Ali Zardari-Benazir Bhutto,t,0.922,"{Asif,Ali,Zardari,"","",widower,of,assassinated,ex-premier,Benazir,Bhutto,"","",and,former,prime,minister,Nawaz,Sharif,signed,a,coalition,pact,on,Sunday,following,last,month,'s,general,elections,in,which,they,trounced,Musharraf,'s,allies,.}",0,3,8,2,2,"{STARTS_WITH_CAPITAL_[True_True],LENGTHS_[3_2],NGRAM_1_[widower],""NGRAM_1_[,]"",""NGRAM_2_[widower of]"",""NER_SEQ_[O O O O O]""}","{-1.31464,1.08145,0.833708,-0.736788,0.625951,0.37503}"
APW_ENG_20070508.0246.LDC2009T13_49_16-APW_ENG_20070508.0246.LDC2009T13_49_35,APW_ENG_20070508.0246.LDC2009T13_49,George W. Bush-Laura Bush,t,0.966,"{After,a,day,of,pomp,Monday,"","",capped,by,a,white-tie,state,dinner,hosted,by,President,George,W.,Bush,"","",the,British,monarch,and,her,husband,"","",Prince,Philip,"","",were,to,join,first,lady,Laura,Bush,in,a,tour,of,Children,'s,National,Medical,Center,and,to,visit,NASA,'s,Goddard,Space,Flight,Center,.}",16,3,35,2,2,"{NGRAM_1_[husband],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],""NGRAM_1_[,]"",NGRAM_1_[she],NGRAM_1_[lady]}","{1.38993,-1.31464,1.00097,-0.736788,0.686583,0.373323}"
APW_ENG_20080316.0561.LDC2009T13_14_29-APW_ENG_20080316.0561.LDC2009T13_14_10,APW_ENG_20080316.0561.LDC2009T13_14,Heather Mills-Paul McCartney,t,0.958,"{It,'s,been,a,hard,day,'s,night,"","",but,Paul,McCartney,will,finally,learn,Monday,how,much,of,his,huge,fortune,he,must,hand,over,to,estranged,wife,Heather,Mills,.}",29,2,10,2,2,"{INV_NGRAM_1_[wife],INV_LENGTHS_[2_2],INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,INV_NGRAM_1_[of],INV_NGRAM_1_[he]}","{1.40876,1.0991,-0.763446,-0.651428,-0.345948,0.327682}"
APW_ENG_20080405.0261.LDC2009T13_52_15-APW_ENG_20080405.0261.LDC2009T13_52_6,APW_ENG_20080405.0261.LDC2009T13_52,Benazir Bhutto-Asif Ali Zardari,t,0.946,"{Major,newspapers,ran,stories,suggesting,that,Asif,Ali,Zardari,"","",husband,of,former,Prime,Minister,Benazir,Bhutto,who,became,the,Pakistan,Peoples,Party,leader,after,she,was,assassinated,in,December,"","",has,changed,his,tune,on,reinstating,the,judges,dismissed,last,November,.}",15,2,6,3,3,"{INV_NGRAM_1_[husband],INV_LENGTHS_[2_3],""INV_BETW_D_[prep_of DICT_married appos]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_1_[,]"",IS_INVERTED}","{1.33699,1.08611,0.850398,-0.763446,-0.66542,-0.651428}"
APW_ENG_20070216.1136.LDC2009T13_19_0-APW_ENG_20070216.1136.LDC2009T13_19_20,APW_ENG_20070216.1136.LDC2009T13_19,Anna Nicole Smith-Howard K. Stern,t,0.93,"{Anna,Nicole,Smith,said,in,a,2001,will,that,all,property,of,her,estate,should,be,given,to,longtime,companion,Howard,K.,Stern,to,hold,in,trust,"","",according,to,a,document,released,Friday,.}",0,3,20,3,3,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[she],LENGTHS_[3_3],NGRAM_1_[companion],NGRAM_1_[of],NGRAM_1_[longtime]}","{-1.31464,0.686583,0.67779,0.446504,-0.244324,0.234447}"
APW_ENG_20080409.1024.LDC2009T13_157_0-APW_ENG_20080409.1024.LDC2009T13_157_11,APW_ENG_20080409.1024.LDC2009T13_157,Michelle Obama-Barack Obama,t,0.908,"{Michelle,Obama,wrote,about,how,she,was,hesitant,about,her,husband,Barack,Obama,getting,into,the,presidential,race,.}",0,2,11,2,2,"{NGRAM_1_[husband],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],NGRAM_1_[she],""NER_SEQ_[O O O O O O O O O]"",NGRAM_1_[write]}","{1.38993,-1.31464,1.00097,0.686583,0.312113,-0.213612}"
APW_ENG_20080106.0693.LDC2009T13_0_0-APW_ENG_20080106.0693.LDC2009T13_0_4,APW_ENG_20080106.0693.LDC2009T13_0,Jack Black-Tanya Haden,t,0.986,"{Jack,Black,and,wife,Tanya,Haden,expecting,another,baby,;,already,have,1-year-old,son}",0,2,4,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],""POS_SEQ_[CC NN]"",""NER_SEQ_[O O]"",""BETW_L_[nsubj nsubj]""}","{1.45266,-1.31464,1.00097,0.812338,0.481143,0.325851}"
APW_ENG_20080402.0512.LDC2009T13_92_19-APW_ENG_20080402.0512.LDC2009T13_92_29,APW_ENG_20080402.0512.LDC2009T13_92,Asif Ali Zardari-Benazir Bhutto,t,0.972,"{Among,those,attending,were,Nawaz,Sharif,"","",who,was,ousted,as,premier,in,Musharraf,'s,1999,coup,"","",and,Asif,Ali,Zardari,"","",the,widower,of,slain,former,premier,Benazir,Bhutto,.}",19,3,29,2,2,"{STARTS_WITH_CAPITAL_[True_True],LENGTHS_[3_2],NGRAM_1_[widower],""NGRAM_1_[,]"",""NGRAM_2_[widower of]"",""BETW_L_[appos prep_of]""}","{-1.31464,1.08145,0.833708,-0.736788,0.625951,0.476602}"
APW_ENG_20080220.0214.LDC2009T13_65_3-APW_ENG_20080220.0214.LDC2009T13_65_11,APW_ENG_20080220.0214.LDC2009T13_65,Cindy McCain-John McCain,t,0.956,"{He,commented,after,Cindy,McCain,"","",wife,of,Republican,presidential,candidate,John,McCain,"","",made,a,veiled,reference,to,Michelle,Obama,'s,recent,remarks,.}",3,2,11,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],""BETW_D_[appos DICT_married prep_of]"",""NGRAM_1_[,]"",""NGRAM_2_[wife of]""}","{1.45266,-1.31464,1.00097,0.819902,-0.736788,0.621528}"
APW_ENG_20071217.0153.LDC2009T13_77_1-APW_ENG_20071217.0153.LDC2009T13_77_27,APW_ENG_20071217.0153.LDC2009T13_77,Ike Turner-Tina Turner,t,0.908,"{--,Ike,Turner,"","",76,"","",whose,role,as,one,of,rock,'s,critical,architects,was,overshadowed,by,his,image,as,the,man,who,abused,former,wife,Tina,Turner,"","",in,San,Marcos,"","",California,.}",1,2,27,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],""NGRAM_1_[,]"",NGRAM_1_[he],NGRAM_1_[by]}","{1.45266,-1.31464,1.00097,-0.736788,0.311969,-0.283928}"
AFP_ENG_20080812.0747.LDC2009T13_466_19-AFP_ENG_20080812.0747.LDC2009T13_466_9,AFP_ENG_20080812.0747.LDC2009T13_466,Benazir Bhutto-Asif Ali Zardari,t,0.974,"{The,decision,came,after,he,spoke,to,coalition,leader,Asif,Ali,Zardari,"","",the,widower,of,assassinated,former,premier,Benazir,Bhutto,and,leader,of,the,Pakistan,'s,People,'s,Party,.}",19,2,9,3,3,"{INV_LENGTHS_[2_3],INV_NGRAM_1_[widower],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_1_[,]"",IS_INVERTED,""INV_NGRAM_2_[widower of]""}","{1.08611,0.849673,-0.763446,-0.66542,-0.651428,0.605642}"
95331@82_5-95331@82_0,95331@82,Patrick Nugent-C. Luci Baines Johnson,,0.986,"{C.,Luci,Baines,Johnson,married,Patrick,Nugent,"","",23,"","",at,the,Shrine,of,the,Immaculate,Conception,on,Aug.,6,"","",1966,.}",5,2,0,4,4,"{INV_NGRAM_1_[marry],INV_LENGTHS_[2_4],INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,INV_NER_SEQ_[O],INV_POS_SEQ_[VBD]}","{1.16876,1.11094,-0.763446,-0.651428,0.446218,0.321302}"
AFP_ENG_20080229.0193.LDC2009T13_8_7-AFP_ENG_20080229.0193.LDC2009T13_8_2,AFP_ENG_20080229.0193.LDC2009T13_8,Carla Bruni-Nicolas Sarkozy,t,0.922,"{French,President,Nicolas,Sarkozy,and,first,lady,Carla,Bruni,visited,the,Robben,Island,former,prison,colony,Friday,where,South,African,anti-apartheid,icon,Nelson,Mandela,was,held,for,18,years,.}",7,2,2,2,2,"{INV_LENGTHS_[2_3],INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,""INV_NER_SEQ_[O ORDINAL O]"",""INV_POS_SEQ_[CC JJ NN]"",INV_NGRAM_1_[lady]}","{1.08611,-0.763446,-0.651428,0.410631,0.352405,0.335321}"
AFP_ENG_20080205.0171.LDC2009T13_8_6-AFP_ENG_20080205.0171.LDC2009T13_8_1,AFP_ENG_20080205.0171.LDC2009T13_8,Carla Bruni-Nicolas Sarkozy,t,0.926,"{President,Nicolas,Sarkozy,'s,marriage,to,Carla,Bruni,at,the,weekend,"","",far,from,fixing,his,bruised,image,"","",has,harmed,it,among,a,third,of,French,voters,"","",a,new,poll,suggested,on,Tuesday,.}",6,2,1,2,2,"{INV_LENGTHS_[2_3],INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,""INV_NER_SEQ_[O O O]"",INV_NGRAM_1_[marriage],""INV_NGRAM_2_[marriage to]""}","{1.08611,-0.763446,-0.651428,0.546301,0.507923,0.432554}"
AFP_ENG_20070711.0415.LDC2009T13_436_26-AFP_ENG_20070711.0415.LDC2009T13_436_1,AFP_ENG_20070711.0415.LDC2009T13_436,Diane Antonopoulos-Montgomerie,,0.952,"{While,Montgomerie,has,been,rediscovering,his,form,over,the,last,three,weeks,"","",Luke,Donald,has,been,busy,getting,married,to,long,-,term,American,girlfriend,Diane,Antonopoulos,on,the,Greek,island,of,Santorini,"","",where,her,family,originate,from,.}",26,2,1,1,1,"{INV_NGRAM_1_[marry],INV_NGRAM_1_[girlfriend],INV_LENGTHS_[3_2],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_1_[,]"",IS_INVERTED}","{1.16876,0.966201,0.92871,-0.763446,-0.66542,-0.651428}"
